Name,Latitude,Longitude,Cuisine,Area,Rating,Reviews,Price,Address,GoogleMapsURL
ข้าวมันไก่ มงคลวัฒนา (สามเรือน),13.833373000000002,100.5717056,Thai,Chatuchak,4.6,997,฿,"1895/8 Soi Phahon Yothin 37/1, Khwaeng Lat Yao, Khet Chatuchak, Krung Thep Maha Nakhon 10900, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ0VqCknKd4jARGDT8WPgoSd4
แซ่บวัน ตำซั่ว Original,13.764832499999999,100.56895999999999,Isaan Thai,Ratchada,4.7,841,฿฿,"Thanon Ratchadaphisek, Khwaeng Din Daeng, Khet Din Daeng, Krung Thep Maha Nakhon 10400, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJaZ6-cAuf4jAREVKsxwFZpl0
ข้าวมันไก่นายธง สาธุประดิษฐ์ 58,13.6815608,100.52998760000001,Thai,Bang Kho Laem,4.4,1045,฿,"983 Thanon Sathu Pradit, แขวง บางโคล่ เขต บางคอแหลม Krung Thep Maha Nakhon 10120, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJHXBKmfih4jAR8TFcIeGuAY0
ซุ่ยเฮง ข้าวมันไก่,13.7134417,100.5129571,Thai,สาทร,4.4,1008,฿,"1739 ถ. เจริญกรุง Khwaeng Yan Nawa, Khet Sathon, Krung Thep Maha Nakhon 10120, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJy0BpMMeY4jARWUGwjkDCYeM
ข้าวมันไก่เจ็กเม้ง ตรงข้ามโรงเรียนสีตบุตร,13.742447799999999,100.5213467,Thai,Pathumwan,4.4,976,฿,"112/1-3 Charat Mueang Alley, Khwaeng Rong Muang, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJcwK74S6Z4jARzqUhQsNBF1A
ข้าวมันไก่เจ๊ยี,13.7532733,100.5093479,Thai,Pom Prap,4.4,940,฿,"457/9 Thanon Chakkraphatdi Phong, Khwaeng Khlong Maha Nak, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJTyVYej6Z4jAR_1fpix79NfM
ศรีเหลืองโภชนา,13.789304699999999,100.54955679999999,Thai,Phaya Thai,4.4,933,฿,"45/7 Thanon Saliratthawiphak, Khwaeng Samsen Nai, Khet Phaya Thai, Krung Thep Maha Nakhon 10400, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJp2Zacxec4jAR9i2toRndyaE
ร้านรสทิพย์ ข้าวขาหมู,13.7992136,100.63574709999999,Thai,Ram Intra,4.5,844,฿,"106 ซอยโพธิ์แก้ว แยก 4-1-2-1 Khwaeng Khlong Chan, Khet Bang Kapi, Krung Thep Maha Nakhon 10240, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJP4M-Qt9jHTERYZ6SJ3WWuYk
ร้านอาหารใต้ บ้านฉลอง,13.8415068,100.5922842,Thai,Minburi,4.5,792,฿฿,"เลขที่ 100 Lat Pla Khao Rd, Khwaeng Chorakhe Bua, Khet Lat Phrao, Krung Thep Maha Nakhon 10230, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJOV4PX72d4jARnM3B7eq7Y3M
หรรษาริเวอร์เฮ้าส์,13.7356582,100.5102325,Thai,Yaowarat,4.5,777,฿฿,"1616 Soi Khang Wat Pathum Khongkha, Khwaeng Samphanthawong, Khet Samphanthawong, Krung Thep Maha Nakhon 10100, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJE7ZsAwCZ4jAR4OAUPPaXQ6o
เจ้เล้ง ครัวส้มตำไก่ย่าง,13.6491423,100.4811864,Thai,Thung Khru,4.3,875,฿฿,"1 Soi Phuttha Bucha 36, Khwaeng Bang Mot, Khet Thung Khru, Krung Thep Maha Nakhon 10140, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJy34M5f6i4jARHE-3S2bD4io
บุญตงเกียรติ ข้าวมันไก่สิงคโปร์ ทองหล่อ,13.7339957,100.58273489999999,Thai,Thonglor,4.3,866,฿,"440 5 Soi Thong Lo, แขวง วัฒนา Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJR7gcH1Oe4jARA4YYHTzJMx4
โชคชัย ลูกชิ้นปลา,13.8541748,100.6343083,Thai,Bang Khen,4.5,689,฿,"17/69 Ram Intra 45, Khwaeng Tha Raeng, Khet Bang Khen, Krung Thep Maha Nakhon 10230, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJwUYZW7piHTER1kNXPQDxXnY
ตู้กับข้าว ดอนเมือง,13.911713700000002,100.5908649,Thai,Don Mueang,4.3,727,฿฿,"Soi Chang Akat Uthit 3, Lane 4, Khwaeng Si Kan, Khet Don Mueang, Krung Thep Maha Nakhon 10210, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJXRd_j_aC4jARN5qdIaccsFk
ไก่ย่างเสือใหญ่ กรุงเทพกรีฑา ซอย 8,13.7438249,100.6529617,Thai,Bangkapi,4.3,709,฿฿,"150/1 Thanon Krung Thep Kritha, Khwaeng Hua Mak, Khet Bang Kapi, Krung Thep Maha Nakhon 10240, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJjznWlQ5hHTER4OWYw1ULZkI
สมยงตำซั่ว2 พระราม 9,13.758994099999999,100.5703241,Isaan Thai,Rama 9,4.3,665,฿,"61/ 226-227 ถนน Rama IX Soi 7, Khwaeng Huai Khwang, Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJe6FJn4ue4jARW0LJkwrHjtc
ร้านเจ๊แอ๊ด ก๋วยเตี๋ยวต้มยำสูตรมะนาว,13.7468171,100.4193897,Thai,Sukhumvit,4.5,547,฿,"30 หมู่ที่ 2 Soi Siri Watthana, Khwaeng Bang Chueak Nang, Khet Taling Chan, Krung Thep Maha Nakhon 10170, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJeZeEDXOX4jARgci9Bpq5gSQ
หมึกมันไก่ ข้าวมันไก่สไตล์สิงคโปร์,13.7557703,100.5287185,Thai,Ratchathewi,4.5,544,฿,"47/1 Soi Phetchaburi 5, Khwaeng Thung Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJSUv0DUCZ4jAR1i5h7plXW8w
